time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-24T07:12:49.610Z,45.5531,26.3116,153.29,4.2,mb,,51,0.264,0.74,us,usb000s5t6,2014-08-24T07:47:36.874Z,"11km NW of Gura Teghii, Romania",earthquake
2014-08-24T06:19:07.400Z,18.929,-64.5053,6,3,Md,7,302.4,0.52012455,0.23,pr,pr14236000,2014-08-24T08:36:30.504Z,"57km NNE of Road Town, British Virgin Islands",earthquake
2014-08-24T05:33:45.830Z,64.4886,-17.8581,10,4.9,mb,,76,1.517,1.09,us,usb000s5t3,2014-08-24T05:50:46.566Z,"130km WNW of Hofn, Iceland",earthquake
2014-08-24T04:56:09.000Z,51.6876,178.6718,83.7,2.6,ml,,,,0.29,ak,ak11368086,2014-08-25T00:14:26.638Z,"31km SSE of Little Sitkin Island, Alaska",earthquake
2014-08-24T04:29:27.990Z,-6.8939,129.6723,165.74,4.5,mb,,86,1.942,1.33,us,usb000s5sy,2014-08-24T04:48:36.280Z,"215km WNW of Saumlaki, Indonesia",earthquake
2014-08-24T03:55:56.000Z,57.6234,-151.2493,12,2.9,ml,,,,0.94,ak,ak11366297,2014-08-25T00:10:48.250Z,"71km ESE of Kodiak, Alaska",earthquake
2014-08-24T03:18:41.430Z,-33.1511,-72.0822,16.2,4.5,mb,,143,0.799,0.68,us,usb000s5se,2014-08-25T11:33:13.257Z,"44km WSW of Valparaiso, Chile",earthquake
2014-08-24T03:12:49.000Z,51.8762,178.4095,132,2.6,ml,,,,0.54,ak,ak11366256,2014-08-25T00:16:43.644Z,"10km SW of Little Sitkin Island, Alaska",earthquake
2014-08-24T02:44:51.430Z,32.5197,47.8413,10,5.2,mb,,40,6.973,0.89,us,usb000s5sb,2014-08-24T03:33:56.566Z,"52km NW of Shush, Iran",earthquake
2014-08-24T02:36:55.000Z,51.8426,178.5338,90.8,2.5,ml,,,,0.7,ak,ak11366220,2014-08-25T00:27:08.115Z,"11km S of Little Sitkin Island, Alaska",earthquake
2014-08-24T01:28:58.230Z,31.8614,47.0667,10,4,mb,,227,7.224,0.84,us,usb000s5s9,2014-08-24T09:31:41.405Z,"7km WNW of Al `Amarah, Iraq",earthquake
2014-08-24T01:23:07.000Z,60.0754,-152.7714,100,2.7,ml,,,,0.75,ak,ak11366175,2014-08-24T09:25:47.293Z,"45km S of Redoubt Volcano, Alaska",earthquake
2014-08-24T00:09:53.680Z,64.6856,-17.3507,5.41,5.3,mb,,44,6.082,0.69,us,usb000s5s0,2014-08-24T08:12:33.514Z,"113km WNW of Hofn, Iceland",earthquake
2014-08-24T00:05:58.000Z,55.6589,-161.5392,169.5,3,ml,,,,0.62,ak,ak11366120,2014-08-24T08:08:42.242Z,"74km WNW of Sand Point, Alaska",earthquake
2014-08-23T23:40:27.230Z,-6.8298,155.0862,35,4.7,mb,,118,8.253,1.27,us,usb000s5ru,2014-08-24T07:43:07.096Z,"71km SW of Panguna, Papua New Guinea",earthquake
2014-08-23T22:32:23.630Z,-32.7049,-71.3967,35,6.4,mww,,30,0.419,0.9,us,usb000s5rc,2014-08-25T16:42:15.583Z,"18km WNW of Hacienda La Calera, Chile",earthquake
2014-08-23T22:02:24.000Z,19.4575,-67.874,15,3.4,Md,9,273.6,1.05372383,0.49,pr,pr14235006,2014-08-24T06:05:07.901Z,"111km NNE of Punta Cana, Dominican Republic",earthquake
2014-08-23T21:08:24.000Z,60.5699,-149.6817,35.3,2.8,ml,,,,0.88,ak,ak11365894,2014-08-24T05:10:57.662Z,"47km NNW of Bear Creek, Alaska",earthquake
